Country,Tenant,Sport,City,Stadium,Capacity,Built,Seats
Australia,Western Bulldogs FC,Aussie Rules,Ballarat,Mars Stadium,11000,1990,5026
Australia,Tennis-use,Tennis,Melbourne,Hisense Arena,10800,2000,all-seater
Australia,Sydney Kings,Basketball,Sydney,Entertainment Centre,10500,1983,all-seater
Australia,Multi-use,Multi-use,Melbourne,Windy Hill,10000,1881,null
Australia,Multi-use,Multi-use,Sydney,Wentworth Park,10000,1987,null
Australia,Swimming-use,Swimming-use,Sydney,Sydney Aquatic Centre,10000,1994,all-seater
Australia,Tennis-use,Tennis,Sydney,International Tennis Centre,10000,1998,all-seater
Australia,Multi-use,Multi-use,Sydney,The Dome,10000,1999,all-seater
Australia,Warringah Rats RC,Rugby,Sydney,Pittwater Park,10000,1971,null
Australia,Bonnyrigg White Eagles,Soccer,Bonnyrigg,Bonnyrigg SC Stadium,10000,1979,null
Australia,Hockey-use,Hockey,Darwin,Marrara Hockey Centre,10000,null,null
Australia,Multi-use,Multi-use,Alice Springs,Traeger Park,10000,null,null
Australia,Ipswich Jets RLFC,Rugby,Ipswich,QLD Group Stadium ,10000,2002,null
Australia,Redcliffe Dolphins RLC,Rugby,Redcliffe,Dolphin Oval,10000,1979,null
Australia,Northern Rangers FC,Soccer,Launceston,NTCA Ground,10000,1851,null
Australia,Whittlesea Zebras FC,Soccer,Melbourne,Epping Stadium,10000,null,1000
Australia,Aussie Rules-use,Aussie Rules,Melbourne,Glenferrie Oval,10000,1903,null
Australia,Box Hill Hawks,Aussie Rules,Melbourne,Box Hill City Oval,10000,null,500
Australia,Williamstown Seagulls,Aussie Rules,Williamstown,Burbank Oval,10000,null,500
Australia,Sandringham FC,Aussie Rules,Melbourne,Trevor Barker Oval,10000,null,1000
Australia,Green Gully SC,Soccer,Melbourne,Green Gully Reserve,10000,1966,null
Australia,Heidelberg United,Soccer,Melbourne,Olympic Park (Village),10000,1956,1000
Australia,Aussie Rules-use,Aussie Rules,Perth,Claremont Showground,10000,1905,null
Fiji,National Stadium,Multi-use,Suva,TFL National Stadium,30000,null,null
Fiji,Suva Highlanders,Rugby,Suva,TFL National Stadium,30000,null,null
Fiji,Suva FC,Football,Suva,TFL National Stadium,30000,null,null
Fiji,Lautoka FC,Football,Lautoka,Churchill Park,18000,null,null
Fiji,Nadi,Football,Nadi,Prince Charles Park,10000,null,null
French Polynesia,National Stadium,Multi-use,Pirae,Stade Pater,15000,null,all-seater
French Polynesia,AS Dragon,Soccer,Pirae,Stade Pater,15000,null,all-seater
French Polynesia,AS Pirae,Soccer,Pirae,Stade Pater,15000,null,all-seater
French Polynesia,AS Roniu,Soccer,Pirae,Stade Pater,15000,null,all-seater
French Polynesia,AS Manu-Ura,Soccer,Pirae,Stade Hamuta,10000,null,all-seater
New Caledonia,National Stadium,Multi-use,Nouméa,Stade Numa-Daly Magenta,10000,null,null
New Caledonia,AS Magenta,Football,Nouméa,Stade Numa-Daly Magenta,10000,null,null
New Zealand,Auckland RFU,Rugby,Auckland,Eden Park,50000,1900,all-seater
New Zealand,Wellington Lions RUC,Rugby,Wellington,Westpac Stadium,36000,2000,all-seater
New Zealand,Wellington Phoenix FC,Soccer,Wellington,Westpac Stadium,36000,2000,all-seater
New Zealand,Bay of Plenty RFU,Rugby,Rotorua,Rotorua Int'l Stadium,34000,1911,12220
New Zealand,Otago RFU,Rugby,Dunedin,Forsyth Barr Stadium,30500,2011,26826
New Zealand,Southern United,Soccer,Dunedin,Forsyth Barr Stadium,30500,2011,26826
New Zealand,N.Z. Warriors RLC,Rugby,Auckland,Mt Smart Stadium,30000,1989,26500
New Zealand,Waikato RFU,Rugby,Hamilton,Waikato Stadium,25800,2001,20000
New Zealand,Waikato FC,Soccer,Hamilton,Waikato Stadium,25800,2001,20000
New Zealand,Northland RFU,Rugby,Whangarei,Okara Park,25000,1965,all-seater
New Zealand,North Harbour RU,Rugby,Albany,QBE Stadium,25000,1997,19000
New Zealand,Taranaki RFU,Rugby,New Plymouth,Yarrow Stadium,25000,2002,9000
New Zealand,Hawke's Bay RFU,Rugby,Napier,McLean Park,22000,1952,null
New Zealand,Central Districts,Cricket,Napier,McLean Park,22000,1952,null
New Zealand,Rugby-use,Rugby,Nelson,Trafalgar Park,20080,null,null
New Zealand,Bay of Plenty RFU,Rugby,Mnt. Maungaui,Baypark Stadium,19800,2001,all-seater
New Zealand,Canterbury RFU,Rugby,Christchurch,AMI Stadium,18000,null,all-seater
New Zealand,Manawatu RFU,Rugby,P'ston North,Arena Manawatu,18000,2005,all-seater
New Zealand,Youngheary Manawatu,Rugby,P'ston North,Arena Manawatu,18000,2005,all-seater
New Zealand,Southland RFU,Rugby,Invercargill,Rugby Park Stadium,17000,1887,5000
New Zealand,Wanganui RFU,Rugby,Wanganui,Westpac Stadium,15000,null,null
New Zealand,Tasman Makos,Rugby,Blenheim,Lansdowne Park,15000,null,null
New Zealand,Cricket-use,Cricket,Wellington,Basin Reserve,13000,null,null
New Zealand,Horowhenua-Kapiti RFU,Rugby,Levin,Levin Domain,12000,null,null
New Zealand,Multi-use,Multi-use,Auckland,Vector Arena,12000,2006,all-seater
New Zealand,Counties Manukau RU,Rugby,Pukekohe,ECOlight Stadium,12000,null,null
New Zealand,Wairarapa-Bush RFU,Rugby,Masterton,Memorial Park,10000,null,null
New Zealand,South Canterbury RFC,Rugby,Timaru,Alpine Energy Stadium,10000,null,null
Papua New Guinea,National Stadium,Multi-use,Port Moresby,Sir Hubert Murray Stadium,25000,1969,all-seater
Papua New Guinea,Multi-use,Multi-use,Port Moresby,Sir John Guise Stadium,15000,2015,all-seater
Papua New Guinea,Port Moresby Vipers,Rugby,Port Moresby,Lloyd Robson Oval,15000,null,null
Papua New Guinea,Hela Wigmen,Rugby,Port Moresby,Lloyd Robson Oval,15000,null,null
Papua New Guinea,PRK Hekari United,Football,Port Moresby,PMRL Stadium,15000,null,null
Papua New Guinea,GLMK FC,Football,Lae,LFA Park,10000,null,null
Samoa,Multi-use,Multi-use,Apia,Apia Park,15000,null,null
Solomon Islands,National Stadium,Multi-use,Honiara,Lawson Tama Stadium,22000,null,null
Solomon Islands,Koloale FC,Soccer,Honiara,Lawson Tama Stadium,22000,null,null
Solomon Islands,Kossa FC,Soccer,Honiara,Lawson Tama Stadium,22000,null,null
Tonga,Multi-use,Multi-use,Naku'alofa,Teufaiva Sport Stadium,10000,null,null
Argentina,Horse-Racing use,Horse-Racing use,San Isidro,Hipódromo de San Isidro,100000,1935,null
Argentina,CA River Plate,Football,Buenos Aires,Antonio Vespucio Liberti,61688,1938,all-seater
Argentina,CA Belgrano,Football,Córdoba,Estadio M. Alberto Kempes,57000,1978,34397
Argentina,Estudiantes de La Plata,Football,La Plata,Estadio Ciudad de La Plata,53000,2003,36000
Argentina,Racing Club,Football,Avellaneda,Presidente Perón,51389,1950,17900
